,price,expenses,m2,rooms,bathrooms,years,address,barrio,subbarrio,note,link
0,105000,11000,50,1,1,20,Virrey Olaguer  y Feliu 3100, Belgrano,Belgrano R,Espec! 2 Balcones C/vista Abta! M/lum! T/Luz y sol! Excel Distrib! Suite! Pileta! Parrilla! Laundry!,/departamento-en-venta-en-belgrano-r-2-ambientes--9001832
1,140000,11000,55,2,1,,Palpa 2500, Belgrano,Belgrano C,IMPEC! Bcn c/vista abta T/luz y sol! T/externo! T/a nuevo! Excel distrib! Lav! Bajas expensas! OPORT,/departamento-en-venta-en-belgrano-c-3-ambientes--9774306
2,146000,10000,70,2,1,,AV. CONGRESO 3800, Belgrano,Belgrano R,Impec Piso alto! Bcn al fte c/vista abta T/Luz y sol! Excel distrib! Bajas expensas! Coch fija! Apto,/departamento-en-venta-en-belgrano-r-3-ambientes--8937450
3,239000,19000,110,3,3,,Vidal 2100,Belgrano,,"BELGRANO, EXCELENTE OPORT.120 M2. COCH.",/departamento-en-venta-en-belgrano-4-ambientes--10183450
4,338000,NaN,80,2,2,0,"Av. Luis Maria Campos 1100, Piso 8", Belgrano,Las Cañitas,EXELENTE 2 DORMITORIOS  8° PISO A ESTRENAR ENTREGA MAYO 2022,/departamento-en-venta-en-las-canitas-3-ambientes--11342579
5,389000,14000,129,4,2,,Olleros 1800,Belgrano,,Excelente semi piso en calle Olleros entre Luis Maria Campos y Soldado de la Independencia,/departamento-en-venta-en-belgrano-5-ambientes--4782732
6,163000,13000,45,1,1,10,Paraguay 4400, Palermo,Palermo Soho,TORRE QUO! T/nuevo! M/Lum! T/Luz y Sol! Excel distrib! Bajas Expensas! Full Amenities! Vig! Apto!,/departamento-en-venta-en-palermo-soho-2-ambientes--7323990
7,89000,8000,35,1,1,40,Republica de la India 2800, Palermo,Palermo Chico,IMPEC! M/lum! T/luz y sol! Piso alto! Excel distrib! AMOB Y EQUIP! Apto prof! Bajas expensas! OPORT!,/departamento-en-venta-en-palermo-chico-2-ambientes--8279587
8,150000,20000,60,2,2,15,Lafinur 3100, Palermo,Palermo Chico,Impec! Bcn al frente c/ vista abta! M/lum! Todo luz y sol! Excel distrib! Toil! Amenities! UNICO!,/departamento-en-venta-en-palermo-chico-3-ambientes--8992434
9,595000,28000,275,3,4,,AV. SANTA FE 2800, Palermo,Palermo Soho,IMPEC SEMIPISO AL FTE! Espec Terraza c/vista Abta! Excel distrib! T/a Nuevo! Parrilla! Baul! Coch!,/departamento-en-venta-en-palermo-soho-5-ambientes--10891107
10,112000,7000,35,1,1,,REPUBLICA DE LA INDIA 2800, Palermo,Palermo Chico,Impec! Piso alto! Bcn al frente c/ espec vista al Ecoparque! T/luz y sol! Excel distrib! Apto! OPORT,/departamento-en-venta-en-palermo-chico-2-ambientes--9280398
11,260000,20000,85,2,3,10,BONPLAND 2200, Palermo,Palermo Hollywood,IMPEC! Bcn corr al fte c/vista abta! M/lum! Excel distrib! Toil! Amenities! Coch! Vig24! Apto! OPORT,/departamento-en-venta-en-palermo-hollywood-3-ambientes--11057873
12,295000,25000,90,3,3,10,LAVALLE 4000, Palermo,Palermo Soho,TORRE PALCOS Impec! Bcn c/vista abta T/luz y sol! Excel distrib! Full Amenities! Coch! Vig24! OPORT!,/departamento-en-venta-en-palermo-soho-4-ambientes--11041782
13,105000,13000,40,0,1,10,Güemes 4400, Palermo,Palermo Soho,IMPEC! Bcn al frente! M/lum! T/luz y sol! Monoambiente Amplio!  Amenities! Apto prof! Vig 24! OPORT!,/departamento-en-venta-en-palermo-soho--11084757
14,239000,17000,91,3,2,,"Avenida Santa Fe 3900, Piso 12", Palermo,Botanico,Departamento en venta en Botanico,/departamento-en-venta-en-botanico-4-ambientes--10470902
15,190000,NaN,62,2,2,10,Avenida del Libertador al 4800, Belgrano,Las Cañitas,ESPECTACULAR DEPARTAMENTO DE 3 AMBIENTES SOBRE AV. DEL LIBERTADOR 4800 - LAS CAÑITAS,/departamento-en-venta-en-las-canitas-3-ambientes--10578525
16,185000,NaN,55,1,1,0,Ortega y Gasset al 1800,Palermo,,EXCELENTE!! HERMOSO DEPARTAMENTO DE 2 AMBIENTES EN PALERMO,/departamento-en-venta-en-palermo-2-ambientes--10578513
17,299000,NaN,"77,80",2,1,,"Ituzaingo 900, Piso 18",Barracas,,ITUZAINGO 925 18G con COCHERA,/departamento-en-venta-en-barracas-3-ambientes--7620212
18,97000,15000,40,1,1,10,"R. de Eslovenia 1700, Piso 1", Belgrano,Las Cañitas,Departamento en venta en Las Cañitas,/departamento-en-venta-en-las-canitas-2-ambientes--11271711
19,106000,7570,33,0,,5,"Santos Dumont 2500, Piso 2", Palermo,Palermo Hollywood,Departamento en venta en Palermo Hollywood,/departamento-en-venta-en-palermo-hollywood-1-ambiente--11334212
0,89900,4500,"33,33",0,1,0,"Ortega y Gasset 1800, Piso 2", Belgrano,Las Cañitas,"Desarrolladora Vende en Las Cañitas, sin comisión, Excelente ambiente divisible",/departamento-en-venta-en-las-canitas-1-ambiente--10776254
