Name,Description,Faction,Card Type,Unit Type,Rarity,Mana,Strength,Move
"Aged Duskbringers","After surviving damage, randomly give 4 strength to another friendly unit.","Neutral","Unit","Elder ","Rare","7","4","1"
"Agents in Charge","","Ironclad Union","Unit","Rodent ","Common","5","3","3"
"Amberhides","On play, drain 4 strength from a random surrounding poisoned unit.","Tribes of Shadowfen","Unit","Toad ","Common","5","4","1"
"Archdruid Earyn","On play, randomly play up to 1 spell card up to Earyn's mana cost from your hand.","Neutral","Unit","Hero ","Legendary","7","7","0"
"Armed Schemers","On play, pull enemy units to you. Then deal 3 damage to all bordering enemy units.","Ironclad Union","Unit","Rodent ","Epic","7","7","0"
"Avian Stalkers","On death, destroy all units in front with 3 or less strength and spawn 3 strength Ravens on all tiles behind.","Neutral","Unit","Raven ","Epic","6","5","0"
"Azure Hatcher","On death, spawn 1 strength Toads on 2 random surrounding tiles.","Tribes of Shadowfen","Unit","Toad ","Rare","4","1","2"
"Beards of Crowglyph","After surviving damage, spawn an Elder with strength equal to this on a random bordering tile.","Neutral","Unit","Elder ","Epic","6","6","0"
"Beasts of Terror","When attacking a non-Dragon unit, deal 2 damage to all other enemies with the same unit type.","Neutral","Unit","Dragon ","Epic","4","3","1"
"Bigthrust Tigers","On play, gain speed equal to the amount of enemy units in front.","Neutral","Unit","Feline ","Rare","2","1","0"
"Bladestorm","Deal 1 damage to all enemy units and structures.","Neutral","Spell"," ","Common","5","",""
"Blessed with Brawn","Give 8 strength to a target friendly unit or structure with 4 or less strength.","Winter Pact","Spell"," ","Common","6","",""
"Blood Ministers","On play, convert all bordering enemy units with 3 or less strength to fight for you.","Tribes of Shadowfen","Unit","Raven ","Epic","6","3","0"
"Bluesail Raiders","","Neutral","Unit","Pirate ","Common","5","3","2"
"Booming Professors","After surviving damage, deal up to 3 of its remaining strength as damage to the first enemy in front.","Ironclad Union","Unit","Rodent  Elder","Epic","6","5","0"
"Boomstick Officers","On play, deal 3 damage to a random enemy behind.","Neutral","Unit","Rodent ","Rare","6","5","1"
"Boosting Elixir","Give 3 strength to a target friendly unit and a random friendly unit bordering it.","Ironclad Union","Spell"," ","Rare","4","",""
"Broken Earth Drakes","When this dies not bordering any base, deal 3 damage to all non-Dragon units.","Winter Pact","Unit","Dragon ","Rare","7","3","1"
"Broken Truce","Destroy a target unit or structure with 8 or less strength. Spread spare damage randomly among all surrounding units or structures. Deal 3 damage to your base.","Swarm of the East","Spell"," ","Rare","4","",""
"Brood Sages","On play, for each surrounding poisoned unit spawn a 1 strength Toad on 2 tiles bordering it.","Tribes of Shadowfen","Unit","Toad ","Epic","2","2","0"
"Broodmother Qordia","On play, spawn 3 Nests on random surrounding tiles which will hatch 3 strength Dragons.","Tribes of Shadowfen","Unit","Dragon  Hero","Legendary","6","5","1"
"Brothers in Arms","On play, spawn a 1 strength Knight on the tile behind.","Neutral","Unit","Knight ","Common","3","3","0"
"Bucks of Wasteland","After surviving damage, randomly give strength to 2 other friendly units equal to the damage received.","Swarm of the East","Unit","Satyr  Elder","Epic","6","6","0"
"Cabin Girls","","Neutral","Unit","Pirate ","Common","4","5","0"
"Call for Aid","Spawn 3 strength units on all tiles bordering a target friendly unit.","Neutral","Spell"," ","Rare","7","",""
"Calming Spirits","","Winter Pact","Unit","Frostling ","Common","7","10","0"
"Chaotic Pupil","On death, deal 3 damage to a random bordering enemy.","Ironclad Union","Unit","Rodent ","Common","5","1","2"
"Chillbeards","When played with an enemy on the tile in front, gain 4 strength.","Winter Pact","Unit","Dwarf ","Common","9","4","2"
"Chilled Stonedames","After surviving damage, destroy all enemy units in front.","Winter Pact","Unit","Frostling  Elder","Epic","5","4","1"
"Clerics with Cords","On play, convert a random bordering enemy unit with 2 or less strength to fight for you.","Tribes of Shadowfen","Unit","Raven ","Rare","4","3","0"
"Collector Mirz","On play, create a 0 cost unit with 5 strength and add it to your deck.","Neutral","Unit","Hero ","Legendary","3","1","1"
"Confinement","Reduce the strength of a target enemy unit to 5.","Neutral","Spell"," ","Common","3","",""
"Conflicted Drakes","On play, deal 1 damage to all non-Dragon units in front.","Neutral","Unit","Dragon ","Rare","3","2","0"
"Copperskin Ranger","On play, poison 1 random enemy unit.","Tribes of Shadowfen","Unit","Toad ","Common","2","1","0"
"Counselor Ahmi","When played with no bordering enemies, return this card back to your hand.","Swarm of the East","Unit","Satyr  Hero","Legendary","3","2","1"
"Crazy Bombers","On play, deal 7 damage spread randomly among all surrounding enemies.","Neutral","Unit","Rodent ","Epic","8","6","1"
"Crimson Sentry","On death, deal 1 damage to all bordering units and poison them.","Tribes of Shadowfen","Unit","Toad ","Common","3","1","2"
"Curse of Strings","Convert a target enemy unit with 8 or less strength to fight for you.","Tribes of Shadowfen","Spell"," ","Rare","7","",""
"Dangerous Suitors","On play, gain 2 strength for every other Dragon on the board.","Neutral","Unit","Dragon ","Rare","6","4","1"
"Dark Harvest","Deal 2 damage to all enemies surrounding a friendly unit.","Swarm of the East","Spell"," ","Rare","5","",""
"Dawnsparks","When attacking, gain 4 mana.","Winter Pact","Unit","Frostling ","Epic","6","8","0"
"Debug Loggers","After attacking, gives 2 strength to itself and a random surrounding friendly unit.","Ironclad Union","Unit","Construct ","Epic","5","4","1"
"Delegators","","Ironclad Union","Unit","Construct ","Common","6","7","1"
"Destructobots","On play, deal 1 damage to another friendly unit.","Ironclad Union","Unit","Construct ","Rare","2","2","1"
"Devastators","Before attacking a structure or base, deal 3 additional damage to it.","Swarm of the East","Unit","Undead ","Epic","4","3","1"
"Doctor Mia","On play, trigger the ability of all bordering friendly structures.","Ironclad Union","Unit","Rodent  Hero","Legendary","2","2","0"
"Doppelbocks","On play, spawn a 1 strength Satyr on the tile in front.","Swarm of the East","Unit","Satyr ","Common","2","1","0"
"Draconic Roamers","When attacking a unit, spawn a 1 strength Dragon on a random tile bordering that unit.","Swarm of the East","Unit","Dragon ","Rare","4","2","2"
"Dreadfauns","On play, spawn 2 Satyrs with 2 strength on random bordering tiles.","Swarm of the East","Unit","Satyr ","Common","5","3","0"
"Dreadful Keepers","On death, randomly spawn a 3 strength Dragon on a tile bordering a friendly Dragon.","Swarm of the East","Unit","Dragon ","Epic","3","3","0"
"Dubious Hags","On death, spawn a 1 strength Raven on a random bordering tile to fight for the enemy.","Tribes of Shadowfen","Unit","Raven ","Common","2","2","1"
"Earthfathers","After surviving damage, gain 3 strength.","Winter Pact","Unit","Dwarf  Elder","Rare","7","5","1"
"Edrik the Fierce","On play, spawn 3 strength Knights in front of all surrounding enemy units.","Neutral","Unit","Knight  Hero","Legendary","4","3","0"
"Eloth the Ignited","On play, fly to the first enemy unit in front. Push this enemy away and deal 3 damage to it. If the pushed enemy died, move forward.","Ironclad Union","Unit","Dragon  Hero","Legendary","5","5","0"
"Embers of Chaos","When this dies bordering the enemy base, randomly spawn a 6 strength Dragon at the enemy base.","Ironclad Union","Unit","Dragon ","Epic","4","1","1"
"Emerald Towers","At the start of your turn, give 2 strength to all friendly units in front.","Neutral","Structure"," ","Rare","4","4",""
"Excited Mouser","On play, confuse the same number of surrounding enemies, as there are surrounding friendly units.","Neutral","Unit","Feline ","Rare","5","5","0"
"Execution","Deal 4 damage to a target enemy unit or structure.","Neutral","Spell"," ","Common","4","",""
"Faithless Prophets","After surviving damage, convert itself to fight for the enemy.","Tribes of Shadowfen","Unit","Raven  Elder","Rare","3","5","1"
"Faun Companions","On play, give 3 strength to a random bordering friendly Satyr.","Swarm of the East","Unit","Satyr ","Common","3","1","1"
"Felflares","On play, deal 2 damage to a random surrounding enemy.","Neutral","Unit","Frostling ","Common","3","2","0"
"Feral Shamans","Before attacking a stronger unit, drain 3 strength from it.","Tribes of Shadowfen","Unit","Raven ","Rare","5","1","1"
"Finite Loopers","On death, spawn a 1 strength Construct on a random bordering tile.","Ironclad Union","Unit","Construct ","Common","4","3","1"
"First Mutineer","On play, discard a random non-Pirate card from your hand.","Neutral","Unit","Pirate ","Common","3","1","2"
